M,D,Y,h,m,s,pm,handle,F,RT,O,E
08,20,18,01,54,32,PM,ChiefSciCan,205,100,True,
08,20,18,01,55,57,PM,jriske,0,100,False,ChiefSciCan
08,20,18,01,57,26,PM,SciChefCan,20,8,True,
08,20,18,01,58,25,PM,CemmaM,0,100,False,ChiefSciCan
08,20,18,02,03,26,PM,SallyNAitken,0,100,False,ChiefSciCan
08,20,18,02,06,49,PM,mendestweets,0,100,False,ChiefSciCan
08,20,18,02,18,19,PM,MattMcTaggart,0,100,False,ChiefSciCan
08,20,18,02,22,00,PM,SSHRC_CRSH,0,100,False,ChiefSciCan
08,20,18,02,22,07,PM,CRC_CRC,0,100,False,ChiefSciCan
08,20,18,02,22,40,PM,CRSH_SSHRC,0,8,False,SciChefCan
08,20,18,02,23,17,PM,CRC_CRC,0,8,False,SciChefCan
08,20,18,02,24,01,PM,MattMcTaggart,0,8,False,SciChefCan
08,20,18,02,26,20,PM,angadsandhu,0,8,False,SciChefCan
08,20,18,02,42,41,PM,LetsFishSmarter,0,100,False,ChiefSciCan
08,20,18,02,57,01,PM,stemkidsrock,0,100,False,ChiefSciCan
08,20,18,03,09,34,PM,faisal_moola,0,100,False,ChiefSciCan
08,20,18,03,13,57,PM,EricF1sher,0,100,False,ChiefSciCan
08,20,18,03,15,00,PM,1jmglass,0,100,False,ChiefSciCan
08,20,18,03,23,39,PM,CC_ARCC,0,100,False,ChiefSciCan
08,20,18,03,28,16,PM,cole_burton,0,100,False,ChiefSciCan
08,20,18,03,34,18,PM,CanGeoEdu,0,100,False,ChiefSciCan
08,20,18,03,43,22,PM,sciencepolicy,0,100,False,ChiefSciCan
08,20,18,03,43,24,PM,sciencepolicy,0,8,False,SciChefCan
08,20,18,03,43,45,PM,KachelWhite,0,100,False,ChiefSciCan
08,20,18,03,45,45,PM,robannan,0,100,False,ChiefSciCan
08,20,18,03,50,20,PM,terrycampbell01,0,100,False,ChiefSciCan
08,20,18,03,56,18,PM,johangreg,0,100,False,ChiefSciCan
08,20,18,04,01,36,PM,HarrietGorham,0,100,False,ChiefSciCan
08,20,18,04,08,44,PM,pnwagner,0,100,False,ChiefSciCan
08,20,18,04,11,02,PM,ComputeOntario,4,2,True,
08,20,18,04,22,47,PM,KateYoungMP,0,100,False,ChiefSciCan
08,20,18,04,29,02,PM,ICESOntario,0,100,False,ChiefSciCan
08,20,18,04,47,40,PM,McAdam_lab,0,100,False,ChiefSciCan
08,20,18,04,54,05,PM,AlbrechtS_H,0,100,False,ChiefSciCan
08,20,18,05,00,55,PM,KirstyDuncanMP,0,100,False,ChiefSciCan
08,20,18,05,01,37,PM,Kin_Kuok,0,100,False,ChiefSciCan
08,20,18,05,03,02,PM,adelinanewton,0,100,False,ChiefSciCan
08,20,18,05,03,11,PM,HomaKrp,0,100,False,ChiefSciCan
08,20,18,05,04,30,PM,ShaferAB,0,100,False,ChiefSciCan
08,20,18,05,08,21,PM,KSP_Libs,0,100,False,ChiefSciCan
08,20,18,05,12,44,PM,Moon_Inthavong,0,100,False,ChiefSciCan
08,20,18,05,21,04,PM,ComputeCanada,0,2,False,ComputeOntario
08,20,18,05,23,04,PM,Fred_Charron,0,100,False,ChiefSciCan
08,20,18,05,26,05,PM,HealthCareCAN,0,100,False,ChiefSciCan
08,20,18,05,26,10,PM,HealthCareCAN,0,8,False,SciChefCan
08,20,18,05,29,28,PM,ImogenRCoePhD,0,100,False,ChiefSciCan
08,20,18,05,39,47,PM,KarenMcMeger,0,100,False,ChiefSciCan
08,20,18,05,43,05,PM,Prof_Potwarka,0,100,False,ChiefSciCan
08,20,18,06,04,51,PM,DMCBrainHealth,0,100,False,ChiefSciCan
08,20,18,06,15,22,PM,westernuScience,0,100,False,ChiefSciCan
08,20,18,06,54,46,PM,ESEPCoalition,0,100,False,ChiefSciCan
08,20,18,06,58,50,PM,Niflame,0,100,False,ChiefSciCan
08,20,18,07,16,16,PM,RobinCraig123,0,100,False,ChiefSciCan
08,20,18,07,34,04,PM,Tracytms,0,100,False,ChiefSciCan
08,20,18,07,39,12,PM,Rhiannon_R_22,0,100,False,ChiefSciCan
08,20,18,07,43,17,PM,bconantcwn,0,100,False,ChiefSciCan
08,20,18,08,26,03,PM,tjsmerritt,0,100,False,ChiefSciCan
08,20,18,08,33,56,PM,emmeslin,0,100,False,ChiefSciCan
08,20,18,09,12,37,PM,AAlbinati,0,100,False,ChiefSciCan
08,20,18,09,16,16,PM,ke_marshall,0,100,False,ChiefSciCan
08,20,18,09,56,44,PM,mossy_fibers,0,100,False,ChiefSciCan
08,20,18,10,16,34,PM,LiberEroFellows,0,100,False,ChiefSciCan
08,20,18,10,22,30,PM,catherinemah,0,100,False,ChiefSciCan
