handle,Likes,Retweets,Tweets,Retweeted
sciencepolicy,1628,567,501,7
SciChefQC,43,17,2,0
DSP_SPE,28,17,6,16
TheNeuro_MNI,16,11,2,0
tgruos,28,7,4,0
SFUResearch,13,6,1,0
MehrdadHariri,46,5,7,0
NorwayinCanada,9,5,1,0
Point_Mutation,55,4,1,0
TeresaScassa,22,4,1,0
this_is_farah,21,4,1,0
INGSciAdvice,8,4,1,0
NIVAInc,13,3,4,6
robannan,12,3,1,0
curriealder,8,3,1,0
BelislePipon,6,3,1,0
HomaKrp,6,3,3,8
MitacsCanada,4,3,2,0
ShawnMcGuirk,26,2,2,0
Gailushka,16,2,1,0
picardonhealth,9,2,1,0
ideas_idees,7,2,1,0
Halpingal,6,2,2,0
QuebecBoston,4,2,1,0
SBAtlantic,2,2,1,0
RCIScience,0,2,1,0
clopezcorrea,14,1,1,0
SCWIST,14,1,4,5
adverbmc,12,1,2,0
mslapointe,10,1,2,0
wwatsonwright,9,1,1,0
E4Dca,4,1,1,0
WaterlooSci,4,1,1,0
ontariogenomics,4,1,1,0
ryan_paolo_02,4,1,1,0
ksedivyhaley,3,1,1,0
terrycampbell01,3,1,1,0
Techsploration,1,1,4,12
scilib,0,1,1,0
sung_vanessa,13,0,1,0
dianawangmartin,12,0,1,0
patriciagruver,9,0,1,0
GenomeCanada,6,0,4,0
GlenforestIB,5,0,1,0
whereprinceat,5,0,1,0
jrmhyrm,3,0,1,0
juliambaird,3,0,1,0
samanthamrae,3,0,1,0
GenomeBC,3,0,2,0
ConcordiaGrad,2,0,1,0
Raolsie,2,0,1,0
TempleScott,2,0,1,0
ajpcn,2,0,1,0
innovate_bc,2,0,1,0
jennyeileens,2,0,1,0
megankmahoney,2,0,1,0
mitch_villasor,2,0,1,0
nehabhutani17,2,0,1,0
pellinglab,2,0,1,0
ptty_cke,2,0,1,0
saraheverts,2,0,1,0
DrLouiseMoyle,2,0,2,0
HSInquiry,2,0,2,0
SarahIKMKing,2,0,2,0
IOGca,1,0,1,0
ImpactUofT,1,0,1,0
TraceyLauriault,1,0,1,0
deepgreendesign,1,0,1,0
jcmauduit,1,0,1,0
krisprou,1,0,1,0
scienceatlantic,1,0,1,0
cybera,1,0,2,0
CAN_SEBP,0,0,0,5
CollegeCan,0,0,0,5
EdnaMatta78,0,0,0,6
FRQSC,0,0,0,7
ImogenRCoePhD,0,0,0,5
LifeSciencesON,0,0,0,5
MA4CPA,0,0,0,8
Mikey_Pereira,0,0,0,5
NSERC_CRSNG,0,0,0,11
PoojashriMishra,0,0,0,6
ScicommBot,0,0,0,5
ScienceBorealis,0,0,0,11
SnowHydro,0,0,0,5
TammyJClifford,0,0,0,8
_open_science_,0,0,0,6
cas4077,0,0,0,11
cmrblanco,0,0,0,32
cpsa_acsp,0,0,0,7
dawnbazely,0,0,0,5
frogheart,0,0,0,8
jackie_dawson,0,0,0,5
research_money,0,0,0,7
salexander_11,0,0,0,9
schheng1,0,0,0,5
vote_no_body,0,0,0,7
yuliakrolik,0,0,0,5
AYPC_CJPA,0,0,1,0
BadScienceWatch,0,0,1,0
DorinaSimeonov,0,0,1,0
Kevmath,0,0,1,0
LykaZanea,0,0,1,0
mipphillips,0,0,1,0
msfhr,0,0,1,0
SALTY_ltc,0,0,3,5
